wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6743457	Wheel Bearing	Cat 785C	3	Waiting Execution		47	
6743481	Brake	Cat 785C	3	Waiting Execution			
6743494	Wheel Bearing	Cat 777D	3	Waiting Execution		41	
6743500	Brake	Cat 777D	3	Waiting Execution			
6743515	Final Drive	Cat 777D	3	Waiting Execution		54	
6743529	Brake	Cat 777D	3	Waiting Execution			
6743542	Final Drive	Cat 777D	3	Waiting Execution		27	
6743558	Engine	Cat D8R	3	Waiting Execution			
6743560	Final Drive	Cat 785C	3	Waiting Execution		69	
6743563	Brake	Cat 785C	3	Waiting Execution			
6743570	Final Drive	Cat 785C	3	Waiting Execution		37	
6743589	Final Drive	Cat 785C	3	Inspection	19	69	
6743597	Brake	Cat 785C	3	Waiting Inspection	8.5		
6743602	Final Drive	Cat 785C	3	Waiting Inspection	8	37	
6743613	Transmission	Cat D8R	3	Waiting Execution			
6743635	Brake	Cat 14M	3	Waiting Execution		34	
6744976	Engine	Multiflo MFVC420	2	Waiting Execution			
6744983	Engine	Multiflo MFVC420	2	Waiting Execution			
6744990	Fan Pulley Brgs	Multiflo MFVC420	2	Waiting Execution			
6745012	Fan Pulley Brgs	Cat D8R	2	Tear Down	3.5		
6745068	Transmission	Cat D8R	2	Waiting Execution			
6745088	Final Drive	Cat D8R	2	Waiting Execution			
6745097	Final Drive	Cat D8R	2	Waiting Execution			
6745106	Steering Clutch/Brk	Cat D8R	2	Waiting Execution			
6745116	Steering Clutch/Brk	Cat D8R	2	Waiting Execution			
