wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6599316	Engine	Cat 785C	31	Waiting Part	383.5	823	
6599329	Fan Pulley Brgs	Cat 785C	84	Waiting Part	6		
6599330	Fan Pulley Brgs	Cat 785C	31	Inspection		16	
6603499	Splitter Box	Liebherr R9350	108	Waiting Part	58	186	
6603723	Transmission	Cat D10T	108	Waiting Part	82.5	162	
6607884	Engine	Cat 16M	105	Assembly	234.5	350	
6607924	Engine	Cat 16M	105	Waiting Part	138.5	350	
6607928	Engine	Cat D10T	71	Waiting Completion	581	581.41	
6607929	Engine	Cat D10T	57	Waiting Completion	589		
6607932	Engine	Cat D10T	16	Inspection	218.5	581.41	
6608605	Engine	Cat D8R	105	Waiting Completion	365.5		
6609916	Circle Drive Box	Cat 14M	104	Waiting Completion	35	35	
6613417	Engine	Cat 777D	101	Waiting Completion	661		
6613421	Transmission	Cat 14M	101	Waiting Completion	161		
6613422	Transmission Pump	Cat 14M	101	Waiting Execution			
6617208	Engine	Cat 16M	98	Waiting Execution		350	
6619798	Wheel Bearing	Cat 785C	96	Waiting Part	14	35	
6623261	Engine	Cat 740	93	Painted	379	380	
6625475	Injection Pump	Cat D9R	92	Waiting Execution			
6627095	Final Drive	Cat 777E	91	Waiting Completion	52.5		
6627099	Final Drive	Cat 777E	91	Waiting Part	16.5		
6612740	Engine	Cat C18 591kVA	91	Waiting Completion	31.5		
6627103	Torque Convertor	Cat 777D	91	Waiting Part	33.5		
6627105	Convertor Scav Pump	Cat 777D	91	Washing	3	26.5	
6627107	Pump Drive Box	Cat 777D	91	Waiting Painting	25	26	
6627112	Bevel Gear	Cat 785C	90	Waiting Part	34	79.5	
6627121	Wheel Bearing	Cat 785C	85	Waiting Completion	62.5	47	
6627125	Wheel Bearing	Cat 785C	90	Waiting Part	28	47	
6627132	Bevel Gear	Cat 785C	90	Waiting Part	37	79.5	
6627138	Final Drive	Cat 777D	90	Waiting Part	32	54	
6631126	Torque Convertor	Cat 740	87	Waiting Part	29	66	
6631142	Transmission Pump	Cat 740	87	Waiting Testing	15.5	23	
6632653	Final Drive	Cat 785C	86	Waiting Completion	47.5	37	
6632695	Transmission	Cat 785C	86	Waiting Part	91.5	179	
6633147	Bevel Gear	Cat 14M3	86	Waiting Part	43.5	86	
6633149	Final Drive	Cat 14M3	86	Testing	37	45	
6633152	Final Drive	Cat 14M3	86	Painted	42.5	45	
6634448	Transmission	Cat 785C	85	Waiting Part	92.5	179	
6634453	Transmission	Cat 785C	85	Waiting Part	93	179	
6635798	Wheel Bearing	Cat 785C	84	Painted	35.5	35	
6635885	Engine	Sykes HH220iSS	84	Waiting Part	121.5	350	
6636051	Fan Pulley Brgs	Sykes HH220iSS	84	Waiting Part	2		
6637254	Final Drive	Cat 740	83	Waiting Part	31.5		
6637261	Pump Drive Box	Cat 777D	83	Waiting Painting	24.5	26	
